Date,Open,High,Low,Close,Adj Close,Volume
1998-03-30,5.670000,5.717000,5.404000,5.453000,5.453000,0
1998-04-06,5.462000,5.616000,5.462000,5.574000,5.574000,0
1998-04-13,5.578000,5.675000,5.553000,5.578000,5.578000,0
1998-04-20,5.595000,5.696000,5.595000,5.654000,5.654000,0
1998-04-27,5.713000,5.825000,5.608000,5.654000,5.654000,0
1998-05-04,5.663000,5.727000,5.642000,5.697000,5.697000,0
1998-05-11,5.714000,5.769000,5.629000,5.670000,5.670000,0
1998-05-18,5.662000,5.666000,5.584000,5.625000,5.625000,0
1998-05-25,5.600000,5.604000,5.526000,5.546000,5.546000,0
1998-06-01,5.526000,5.624000,5.509000,5.571000,5.571000,0
1998-06-08,5.566000,5.595000,5.394000,5.410000,5.410000,0
1998-06-15,5.374000,5.550000,5.366000,5.459000,5.459000,0
1998-06-22,5.426000,5.492000,5.422000,5.442000,5.442000,0
1998-06-29,5.446000,5.487000,5.369000,5.401000,5.401000,0
1998-07-06,5.389000,5.425000,5.381000,5.405000,5.405000,0
1998-07-13,5.396000,5.503000,5.396000,5.499000,5.499000,0
1998-07-20,5.495000,5.495000,5.412000,5.441000,5.441000,0
1998-07-27,5.441000,5.549000,5.424000,5.494000,5.494000,0
1998-08-03,5.474000,5.474000,5.387000,5.387000,5.387000,0
1998-08-10,5.411000,5.440000,5.317000,5.386000,5.386000,0
1998-08-17,5.370000,5.432000,5.182000,5.316000,5.316000,0
1998-08-24,5.283000,5.316000,5.017000,5.080000,5.080000,0
1998-08-31,5.096000,5.108000,4.968000,4.999000,4.999000,0
1998-09-07,5.019000,5.051000,4.629000,4.824000,4.824000,0
1998-09-14,4.843000,4.918000,4.674000,4.678000,4.678000,0
1998-09-21,4.565000,4.736000,4.529000,4.576000,4.576000,0
1998-09-28,4.575000,4.637000,4.224000,4.280000,4.280000,0
1998-10-05,4.239000,4.839000,4.101000,4.772000,4.772000,0
1998-10-12,4.673000,4.768000,4.341000,4.417000,4.417000,0
1998-10-19,4.402000,4.687000,4.394000,4.663000,4.663000,0
1998-10-26,4.726000,4.750000,4.503000,4.603000,4.603000,0
1998-11-02,4.626000,4.966000,4.607000,4.922000,4.922000,0
1998-11-09,4.938000,4.962000,4.726000,4.806000,4.806000,0
1998-11-16,4.834000,4.898000,4.770000,4.810000,4.810000,0
1998-11-23,4.802000,4.858000,4.778000,4.802000,4.802000,0
1998-11-30,4.782000,4.782000,4.521000,4.607000,4.607000,0
1998-12-07,4.595000,4.686000,4.498000,4.603000,4.603000,0
1998-12-14,4.587000,4.619000,4.544000,4.571000,4.571000,0
1998-12-21,4.591000,4.878000,4.591000,4.846000,4.846000,0
1998-12-28,4.818000,4.822000,4.618000,4.638000,4.638000,0
1999-01-04,4.638000,4.878000,4.634000,4.842000,4.842000,0
1999-01-11,4.899000,4.944000,4.610000,4.669000,4.669000,0
1999-01-18,4.689000,4.785000,4.625000,4.629000,4.629000,0
1999-01-25,4.625000,4.717000,4.617000,4.653000,4.653000,0
1999-02-01,4.673000,4.945000,4.673000,4.932000,4.932000,0
1999-02-08,4.953000,5.082000,4.859000,5.052000,5.052000,0
1999-02-15,5.019000,5.086000,4.957000,5.061000,5.061000,0
1999-02-22,5.074000,5.345000,5.003000,5.272000,5.272000,0
1999-03-01,5.285000,5.427000,5.197000,5.316000,5.316000,0
1999-03-08,5.291000,5.308000,5.142000,5.151000,5.151000,0
1999-03-15,5.160000,5.168000,5.063000,5.148000,5.148000,0
1999-03-22,5.182000,5.207000,5.114000,5.199000,5.199000,0
1999-03-29,5.195000,5.294000,5.178000,5.272000,5.272000,0
1999-04-05,5.179000,5.213000,4.998000,5.036000,5.036000,0
1999-04-12,5.011000,5.214000,5.002000,5.206000,5.206000,0
1999-04-19,5.215000,5.250000,5.020000,5.237000,5.237000,0
1999-04-26,5.263000,5.367000,5.164000,5.350000,5.350000,0
1999-05-03,5.363000,5.540000,5.337000,5.535000,5.535000,0
1999-05-10,5.562000,5.649000,5.390000,5.603000,5.603000,0
1999-05-17,5.640000,5.691000,5.487000,5.516000,5.516000,0
1999-05-24,5.512000,5.666000,5.471000,5.611000,5.611000,0
1999-05-31,5.649000,5.834000,5.624000,5.809000,5.809000,0
1999-06-07,5.792000,6.007000,5.754000,5.998000,5.998000,0
1999-06-14,5.989000,6.002000,5.771000,5.822000,5.822000,0
1999-06-21,5.814000,6.060000,5.814000,6.012000,6.012000,0
1999-06-28,6.012000,6.017000,5.802000,5.823000,5.823000,0
1999-07-05,5.870000,5.939000,5.789000,5.823000,5.823000,0
1999-07-12,5.824000,5.832000,5.650000,5.671000,5.671000,0
1999-07-19,5.650000,5.837000,5.629000,5.829000,5.829000,0
1999-07-26,5.876000,5.933000,5.782000,5.907000,5.907000,0
1999-08-02,5.898000,6.012000,5.838000,6.007000,6.007000,0
1999-08-09,6.047000,6.162000,5.966000,5.975000,5.975000,0
1999-08-16,5.987000,5.991000,5.845000,5.870000,5.870000,0
1999-08-23,5.870000,5.904000,5.717000,5.841000,5.841000,0
1999-08-30,5.862000,6.029000,5.779000,5.883000,5.883000,0
1999-09-06,5.891000,5.975000,5.870000,5.891000,5.891000,0
1999-09-13,5.916000,5.970000,5.845000,5.854000,5.854000,0
1999-09-20,5.841000,5.948000,5.739000,5.739000,5.739000,0
1999-09-27,5.789000,5.999000,5.789000,5.986000,5.986000,0
1999-10-04,5.961000,6.067000,5.923000,6.024000,6.024000,0
1999-10-11,6.050000,6.213000,6.033000,6.067000,6.067000,0
1999-10-18,6.075000,6.205000,6.071000,6.192000,6.192000,0
1999-10-25,6.227000,6.253000,6.003000,6.003000,6.003000,0
1999-11-01,6.036000,6.067000,5.867000,5.905000,5.905000,0
1999-11-08,5.930000,6.016000,5.909000,5.913000,5.913000,0
1999-11-15,5.922000,6.067000,5.888000,6.050000,6.050000,0
1999-11-22,6.085000,6.115000,6.067000,6.106000,6.106000,0
1999-11-29,6.102000,6.237000,6.102000,6.163000,6.163000,0
1999-12-06,6.137000,6.146000,6.063000,6.068000,6.068000,0
1999-12-13,6.081000,6.313000,6.063000,6.287000,6.287000,0
1999-12-20,6.282000,6.398000,6.269000,6.394000,6.394000,0
1999-12-27,6.394000,6.440000,6.359000,6.435000,6.435000,0
2000-01-03,6.498000,6.603000,6.485000,6.504000,6.504000,0
2000-01-10,6.540000,6.705000,6.536000,6.674000,6.674000,0
2000-01-17,6.706000,6.823000,6.702000,6.781000,6.781000,0
2000-01-24,6.758000,6.797000,6.411000,6.648000,6.648000,0
2000-01-31,6.709000,6.709000,6.326000,6.517000,6.517000,0
2000-02-07,6.581000,6.683000,6.552000,6.621000,6.621000,0
2000-02-14,6.612000,6.617000,6.474000,6.483000,6.483000,0
2000-02-21,6.440000,6.482000,6.324000,6.341000,6.341000,0
2000-02-28,6.333000,6.448000,6.333000,6.371000,6.371000,0
2000-03-06,6.405000,6.443000,6.298000,6.387000,6.387000,0
2000-03-13,6.328000,6.396000,6.175000,6.188000,6.188000,0
2000-03-20,6.204000,6.208000,6.012000,6.174000,6.174000,0
2000-03-27,6.225000,6.250000,5.937000,6.023000,6.023000,0
2000-04-03,6.002000,6.027000,5.715000,5.849000,5.849000,0
2000-04-10,5.837000,6.030000,5.706000,5.885000,5.885000,0
2000-04-17,5.897000,6.080000,5.864000,5.988000,5.988000,0
2000-04-24,5.962000,6.291000,5.942000,6.214000,6.214000,0
2000-05-01,6.227000,6.516000,6.214000,6.507000,6.507000,0
2000-05-08,6.481000,6.564000,6.368000,6.498000,6.498000,0
2000-05-15,6.498000,6.564000,6.381000,6.511000,6.511000,0
2000-05-22,6.476000,6.494000,6.307000,6.320000,6.320000,0
2000-05-29,6.341000,6.376000,5.966000,6.148000,6.148000,0
2000-06-05,6.114000,6.186000,6.079000,6.113000,6.113000,0
2000-06-12,6.122000,6.126000,5.948000,5.969000,5.969000,0
2000-06-19,5.982000,6.185000,5.969000,6.177000,6.177000,0
2000-06-26,6.181000,6.181000,5.997000,6.018000,6.018000,0
2000-07-03,6.035000,6.057000,5.925000,5.997000,5.997000,0
2000-07-10,6.022000,6.094000,5.971000,6.094000,6.094000,0
2000-07-17,6.090000,6.180000,5.957000,6.000000,6.000000,0
2000-07-24,6.000000,6.063000,5.966000,6.025000,6.025000,0
2000-07-31,6.050000,6.055000,5.880000,5.901000,5.901000,0
2000-08-07,5.901000,5.960000,5.700000,5.787000,5.787000,0
2000-08-14,5.800000,5.838000,5.754000,5.766000,5.766000,0
2000-08-21,5.779000,5.787000,5.683000,5.721000,5.721000,0
2000-08-28,5.708000,5.833000,5.654000,5.675000,5.675000,0
2000-09-04,5.704000,5.758000,5.675000,5.724000,5.724000,0
2000-09-11,5.737000,5.846000,5.683000,5.833000,5.833000,0
2000-09-18,5.871000,5.990000,5.571000,5.829000,5.829000,0
2000-09-25,5.863000,5.871000,5.762000,5.778000,5.778000,0
2000-10-02,5.791000,5.897000,5.791000,5.816000,5.816000,0
2000-10-09,5.816000,5.842000,5.694000,5.715000,5.715000,0
2000-10-16,5.757000,5.757000,5.553000,5.636000,5.636000,0
2000-10-23,5.627000,5.728000,5.582000,5.711000,5.711000,0
2000-10-30,5.690000,5.816000,5.690000,5.804000,5.804000,0
2000-11-06,5.812000,5.885000,5.723000,5.795000,5.795000,0
2000-11-13,5.770000,5.804000,5.656000,5.694000,5.694000,0
2000-11-20,5.673000,5.685000,5.593000,5.622000,5.622000,0
2000-11-27,5.655000,5.655000,5.427000,5.513000,5.513000,0
2000-12-04,5.459000,5.534000,5.286000,5.344000,5.344000,0
2000-12-11,5.348000,5.397000,5.168000,5.176000,5.176000,0
2000-12-18,5.172000,5.220000,4.994000,5.002000,5.002000,0
2000-12-25,5.022000,5.150000,5.002000,5.110000,5.110000,0
2001-01-01,5.075000,5.190000,4.874000,4.948000,4.948000,0
2001-01-08,4.960000,5.242000,4.889000,5.230000,5.230000,0
2001-01-15,5.209000,5.494000,5.083000,5.174000,5.174000,0
2001-01-22,5.172000,5.382000,5.172000,5.253000,5.253000,0
2001-01-29,5.237000,5.295000,5.033000,5.138000,5.138000,0
2001-02-05,5.146000,5.207000,5.016000,5.016000,5.016000,0
2001-02-12,5.008000,5.227000,5.000000,5.093000,5.093000,0
2001-02-19,5.137000,5.158000,5.068000,5.080000,5.080000,0
2001-02-26,5.105000,5.125000,4.828000,4.943000,4.943000,0
2001-03-05,4.923000,5.004000,4.867000,4.931000,4.931000,0
2001-03-12,4.899000,4.935000,4.721000,4.752000,4.752000,0
2001-03-19,4.792000,4.835000,4.689000,4.799000,4.799000,0
2001-03-26,4.835000,5.121000,4.819000,4.915000,4.915000,0
2001-04-02,4.886000,4.999000,4.838000,4.874000,4.874000,0
2001-04-09,4.902000,5.159000,4.886000,5.146000,5.146000,0
2001-04-16,5.159000,5.321000,5.118000,5.263000,5.263000,0
2001-04-23,5.263000,5.321000,5.167000,5.313000,5.313000,0
2001-04-30,5.330000,5.393000,5.081000,5.184000,5.184000,0
2001-05-07,5.184000,5.492000,5.164000,5.484000,5.484000,0
2001-05-14,5.458000,5.527000,5.268000,5.391000,5.391000,0
2001-05-21,5.416000,5.507000,5.357000,5.485000,5.485000,0
2001-05-28,5.472000,5.507000,5.324000,5.354000,5.354000,0
2001-06-04,5.354000,5.354000,5.223000,5.333000,5.333000,0
2001-06-11,5.329000,5.333000,5.186000,5.228000,5.228000,0
2001-06-18,5.215000,5.287000,5.124000,5.124000,5.124000,0
2001-06-25,5.136000,5.420000,4.999000,5.390000,5.390000,0
2001-07-02,5.408000,5.425000,5.331000,5.374000,5.374000,0
2001-07-09,5.370000,5.378000,5.221000,5.234000,5.234000,0
2001-07-16,5.217000,5.217000,5.066000,5.112000,5.112000,0
2001-07-23,5.121000,5.188000,5.075000,5.096000,5.096000,0
2001-07-30,5.096000,5.193000,5.033000,5.159000,5.159000,0
2001-08-06,5.147000,5.185000,4.956000,5.016000,5.016000,0
2001-08-13,4.980000,5.012000,4.841000,4.841000,4.841000,0
2001-08-20,4.860000,4.936000,4.856000,4.912000,4.912000,0
2001-08-27,4.928000,4.932000,4.710000,4.816000,4.816000,0
2001-09-03,4.848000,4.988000,4.741000,4.796000,4.796000,0
2001-09-10,4.745000,4.843000,4.745000,4.835000,4.835000,0
2001-09-17,4.584000,4.740000,4.584000,4.689000,4.689000,0
2001-09-24,4.740000,4.748000,4.509000,4.575000,4.575000,0
2001-10-01,4.567000,4.571000,4.427000,4.504000,4.504000,0
2001-10-08,4.504000,4.699000,4.504000,4.659000,4.659000,0
2001-10-15,4.644000,4.663000,4.530000,4.600000,4.600000,0
2001-10-22,4.592000,4.651000,4.513000,4.521000,4.521000,0
2001-10-29,4.490000,4.498000,4.096000,4.346000,4.346000,0
2001-11-05,4.342000,4.358000,4.178000,4.307000,4.307000,0
2001-11-12,4.314000,4.885000,4.314000,4.885000,4.885000,0
2001-11-19,4.873000,5.015000,4.728000,4.991000,4.991000,0
2001-11-26,4.999000,5.077000,4.700000,4.744000,4.744000,0
2001-12-03,4.735000,5.198000,4.624000,5.148000,5.148000,0
2001-12-10,5.102000,5.190000,4.938000,5.161000,5.161000,0
2001-12-17,5.232000,5.385000,5.020000,5.078000,5.078000,0
2001-12-24,5.090000,5.212000,5.078000,5.107000,5.107000,0
2001-12-31,5.111000,5.217000,5.008000,5.141000,5.141000,0
2002-01-07,5.120000,5.133000,4.831000,4.859000,4.859000,0
2002-01-14,4.839000,4.983000,4.786000,4.888000,4.888000,0
2002-01-21,4.933000,5.125000,4.896000,5.071000,5.071000,0
2002-01-28,5.091000,5.125000,4.946000,4.979000,4.979000,0
2002-02-04,4.933000,5.033000,4.807000,4.879000,4.879000,0
2002-02-11,4.907000,5.048000,4.851000,4.863000,4.863000,0
2002-02-18,4.843000,4.911000,4.799000,4.827000,4.827000,0
2002-02-25,4.831000,4.979000,4.823000,4.971000,4.971000,0
2002-03-04,5.008000,5.333000,4.991000,5.316000,5.316000,0
2002-03-11,5.275000,5.439000,5.246000,5.363000,5.363000,0
2002-03-18,5.346000,5.452000,5.254000,5.389000,5.389000,0
2002-03-25,5.402000,5.448000,5.313000,5.406000,5.406000,0
2002-04-01,5.390000,5.457000,5.181000,5.210000,5.210000,0
2002-04-08,5.222000,5.281000,5.148000,5.156000,5.156000,0
2002-04-15,5.144000,5.277000,5.119000,5.190000,5.190000,0
2002-04-22,5.186000,5.203000,5.033000,5.058000,5.058000,0
2002-04-29,5.074000,5.128000,5.025000,5.062000,5.062000,0
2002-05-06,5.081000,5.261000,5.050000,5.127000,5.127000,0
2002-05-13,5.152000,5.327000,5.138000,5.241000,5.241000,0
2002-05-20,5.214000,5.221000,5.039000,5.138000,5.138000,0
2002-05-27,5.184000,5.197000,5.011000,5.043000,5.043000,0
2002-06-03,5.078000,5.112000,4.956000,5.062000,5.062000,0
2002-06-10,5.079000,5.080000,4.778000,4.806000,4.806000,0
2002-06-17,4.819000,4.870000,4.717000,4.755000,4.755000,0
2002-06-24,4.736000,4.905000,4.617000,4.824000,4.824000,0
2002-07-01,4.805000,4.869000,4.713000,4.864000,4.864000,0
2002-07-08,4.815000,4.854000,4.552000,4.595000,4.595000,0
2002-07-15,4.591000,4.752000,4.540000,4.565000,4.565000,0
2002-07-22,4.528000,4.540000,4.224000,4.367000,4.367000,0
2002-07-29,4.449000,4.609000,4.251000,4.261000,4.261000,0
2002-08-05,4.273000,4.422000,4.216000,4.267000,4.267000,0
2002-08-12,4.226000,4.321000,3.961000,4.317000,4.317000,0
2002-08-19,4.307000,4.352000,4.159000,4.228000,4.228000,0
2002-08-26,4.269000,4.305000,4.113000,4.137000,4.137000,0
2002-09-02,4.054000,4.076000,3.895000,4.036000,4.036000,0
2002-09-09,4.051000,4.106000,3.889000,3.900000,3.900000,0
2002-09-16,3.931000,3.974000,3.755000,3.776000,3.776000,0
2002-09-23,3.733000,3.851000,3.595000,3.689000,3.689000,0
2002-09-30,3.644000,3.794000,3.567000,3.685000,3.685000,0
2002-10-07,3.624000,3.817000,3.559000,3.813000,3.813000,0
2002-10-14,3.811000,4.254000,3.811000,4.134000,4.134000,0
2002-10-21,4.117000,4.273000,4.077000,4.095000,4.095000,0
2002-10-28,4.070000,4.089000,3.886000,3.977000,3.977000,0
2002-11-04,4.038000,4.140000,3.820000,3.852000,3.852000,0
2002-11-11,3.852000,4.137000,3.775000,4.051000,4.051000,0
2002-11-18,4.068000,4.190000,3.937000,4.175000,4.175000,0
2002-11-25,4.190000,4.272000,4.067000,4.213000,4.213000,0
2002-12-02,4.350000,4.351000,3.974000,4.093000,4.093000,0
2002-12-09,4.070000,4.095000,3.976000,4.062000,4.062000,0
2002-12-16,4.079000,4.146000,3.941000,3.953000,3.953000,0
2002-12-23,3.955000,4.012000,3.811000,3.813000,3.813000,0
2002-12-30,3.838000,4.087000,3.759000,4.038000,4.038000,0
2003-01-06,4.071000,4.184000,3.955000,4.152000,4.152000,0
2003-01-13,4.202000,4.203000,3.992000,4.015000,4.015000,0
2003-01-20,3.999000,4.050000,3.871000,3.903000,3.903000,0
2003-01-27,3.894000,4.078000,3.893000,3.975000,3.975000,0
2003-02-03,4.003000,4.038000,3.917000,3.924000,3.924000,0
2003-02-10,3.972000,4.003000,3.837000,3.952000,3.952000,0
2003-02-17,3.942000,3.995000,3.831000,3.893000,3.893000,0
2003-02-24,3.855000,3.876000,3.692000,3.696000,3.696000,0
2003-03-03,3.711000,3.712000,3.578000,3.620000,3.620000,0
2003-03-10,3.598000,3.747000,3.549000,3.707000,3.707000,0
2003-03-17,3.651000,4.117000,3.640000,4.095000,4.095000,0
2003-03-24,4.004000,4.018000,3.876000,3.896000,3.896000,0
2003-03-31,3.840000,3.984000,3.780000,3.944000,3.944000,0
2003-04-07,4.044000,4.080000,3.887000,3.981000,3.981000,0
2003-04-14,4.001000,4.038000,3.901000,3.957000,3.957000,0
2003-04-21,3.969000,4.034000,3.864000,3.886000,3.886000,0
2003-04-28,3.883000,3.967000,3.792000,3.913000,3.913000,0
2003-05-05,3.941000,3.955000,3.607000,3.691000,3.691000,0
2003-05-12,3.621000,3.671000,3.437000,3.462000,3.462000,0
2003-05-19,3.407000,3.494000,3.290000,3.333000,3.333000,0
2003-05-26,3.320000,3.484000,3.316000,3.350000,3.350000,0
2003-06-02,3.408000,3.463000,3.243000,3.352000,3.352000,0
2003-06-09,3.290000,3.318000,3.083000,3.104000,3.104000,0
2003-06-16,3.109000,3.433000,3.074000,3.396000,3.396000,0
2003-06-23,3.359000,3.597000,3.203000,3.581000,3.581000,0
2003-06-30,3.542000,3.660000,3.459000,3.655000,3.655000,0
2003-07-07,3.670000,3.769000,3.638000,3.640000,3.640000,0
